epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,2,,,0.6841946244239807
0,0.0010000000474974513,2,0.6831079125404358,,
1,,5,,,0.62537682056427
1,0.0010000000474974513,5,0.49192333221435547,,
2,,8,,,0.5519763231277466
2,0.0010000000474974513,8,0.4553292393684387,,
3,,11,,,0.4935879111289978
3,0.0010000000474974513,11,0.44884946942329407,,
4,,14,,,0.47262194752693176
4,0.0010000000474974513,14,0.4457208216190338,,
5,,17,,,0.46670860052108765
5,0.0010000000474974513,17,0.4441371560096741,,
6,,20,,,0.46345531940460205
6,0.0010000000474974513,20,0.4439941942691803,,
7,,23,,,0.4556809067726135
7,0.0010000000474974513,23,0.4422151446342468,,
8,,26,,,0.44933924078941345
8,0.0010000000474974513,26,0.4421570301055908,,
9,,29,,,0.4461910128593445
9,0.0010000000474974513,29,0.44040992856025696,,
10,,32,,,0.44256502389907837
10,0.0010000000474974513,32,0.44052398204803467,,
11,,35,,,0.4414992332458496
11,0.0010000000474974513,35,0.44017571210861206,,
12,,38,,,0.44073665142059326
12,0.0010000000474974513,38,0.43905118107795715,,
13,,41,,,0.4395447373390198
13,0.0010000000474974513,41,0.44075751304626465,,
14,,44,,,0.4396854639053345
14,0.0010000000474974513,44,0.4391607642173767,,
15,,47,,,0.44013771414756775
15,0.0010000000474974513,47,0.4425249993801117,,
16,,49,,0.4412592053413391,
16,,50,,,0.44284191727638245
16,0.0010000000474974513,50,0.4406985640525818,,
17,,53,,,0.4401492476463318
17,0.0010000000474974513,53,0.44029638171195984,,
18,,56,,,0.4406202733516693
18,0.0010000000474974513,56,0.43841198086738586,,
19,,59,,,0.440302312374115
19,0.0010000000474974513,59,0.43919244408607483,,
20,,62,,,0.4428950548171997
20,0.0010000000474974513,62,0.43877434730529785,,
21,,65,,,0.44641733169555664
21,0.0010000000474974513,65,0.4381002187728882,,
22,,68,,,0.43811190128326416
22,0.0010000000474974513,68,0.43799322843551636,,
23,,71,,,0.4386961758136749
23,0.0010000000474974513,71,0.4377325177192688,,
24,,74,,,0.438442587852478
24,0.0010000000474974513,74,0.43756818771362305,,
25,,77,,,0.4377366900444031
25,0.0010000000474974513,77,0.4374144971370697,,
26,,80,,,0.43844446539878845
26,0.0010000000474974513,80,0.43830743432044983,,
27,,83,,,0.441242516040802
27,0.0010000000474974513,83,0.4374869763851166,,
28,,86,,,0.4388035237789154
28,0.0010000000474974513,86,0.43756362795829773,,
29,,89,,,0.4426865875720978
29,0.0010000000474974513,89,0.4382944703102112,,
30,,92,,,0.4415334165096283
30,0.0010000000474974513,92,0.4400922656059265,,
31,,95,,,0.43848109245300293
31,0.0010000000474974513,95,0.43737679719924927,,
32,,98,,,0.43920618295669556
32,0.0010000000474974513,98,0.4384879469871521,,
33,,99,,0.4371964931488037,
33,,101,,,0.44210702180862427
33,0.0010000000474974513,101,0.4383719265460968,,
34,,104,,,0.4411488175392151
34,0.0010000000474974513,104,0.4376031160354614,,
35,,107,,,0.44065991044044495
35,0.0010000000474974513,107,0.4372886121273041,,
36,,110,,,0.4383722245693207
36,0.0010000000474974513,110,0.43706014752388,,
37,,113,,,0.4374733865261078
37,9.999999747378752e-05,113,0.4372614920139313,,
38,,116,,,0.43672436475753784
38,9.999999747378752e-05,116,0.4368384778499603,,
39,,119,,,0.4363346993923187
39,9.999999747378752e-05,119,0.43697479367256165,,
40,,122,,,0.43640750646591187
40,9.999999747378752e-05,122,0.43752366304397583,,
41,,125,,,0.436279296875
41,9.999999747378752e-05,125,0.43643996119499207,,
42,,128,,,0.43636223673820496
42,9.999999747378752e-05,128,0.43766269087791443,,
43,,131,,,0.43644383549690247
43,9.999999747378752e-05,131,0.43662959337234497,,
44,,134,,,0.43651923537254333
44,9.999999747378752e-05,134,0.4367229640483856,,
45,,137,,,0.4363510310649872
45,9.999999747378752e-05,137,0.4364696443080902,,
46,,140,,,0.4363171458244324
46,9.999999747378752e-05,140,0.43753570318222046,,
47,,143,,,0.43633025884628296
47,9.999999747378752e-05,143,0.43682003021240234,,
48,,146,,,0.43621739745140076
48,9.999999747378752e-05,146,0.4367273449897766,,
49,,149,,0.4384573996067047,
49,,149,,,0.43623313307762146
49,9.999999747378752e-05,149,0.4371879994869232,,
50,,152,,,0.43621644377708435
50,9.999999747378752e-05,152,0.4367513358592987,,
51,,155,,,0.4362223446369171
51,9.999999747378752e-05,155,0.4366169273853302,,
52,,158,,,0.436222106218338
52,9.999999747378752e-05,158,0.43700501322746277,,
53,,161,,,0.43633538484573364
53,9.999999747378752e-05,161,0.43797966837882996,,
54,,164,,,0.43620747327804565
54,9.999999747378752e-05,164,0.4368627369403839,,
55,,167,,,0.43629229068756104
55,9.999999747378752e-05,167,0.4365732669830322,,
56,,170,,,0.4363919794559479
56,9.999999747378752e-05,170,0.4366839826107025,,
57,,173,,,0.43639013171195984
57,9.999999747378752e-05,173,0.4378073811531067,,
58,,176,,,0.4362178146839142
58,9.999999747378752e-05,176,0.4372492730617523,,
59,,179,,,0.43620243668556213
59,9.999999747378752e-05,179,0.4364755153656006,,
60,,182,,,0.43619412183761597
60,9.999999747378752e-06,182,0.4364073574542999,,
61,,185,,,0.43618232011795044
61,9.999999747378752e-06,185,0.4363109767436981,,
62,,188,,,0.43618181347846985
62,9.999999747378752e-06,188,0.4363459646701813,,
63,,191,,,0.4362064301967621
63,9.999999747378752e-06,191,0.4366060495376587,,
64,,194,,,0.4361918270587921
64,9.999999747378752e-06,194,0.4364807605743408,,
65,,197,,,0.43616384267807007
65,9.999999747378752e-06,197,0.4365186095237732,,
66,,199,,0.43639710545539856,
66,,200,,,0.4361668527126312
66,9.999999747378752e-06,200,0.4364858865737915,,
67,,203,,,0.43623048067092896
67,9.999999747378752e-06,203,0.4368094801902771,,
68,,206,,,0.4365655183792114
68,9.999999747378752e-06,206,0.4384769797325134,,
69,,209,,,0.4362712502479553
69,9.999999747378752e-06,209,0.43645402789115906,,
70,,212,,,0.4364682734012604
